claim_id,file_line,value,macro_or_literal,provenance,configuration,status,claim_context
CL0001,presentations/v6/results_macros.tex:5,"54.86\,\text{ps}",\RessigmaxzEROejA,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej200; scripts/results_macros.py reproduces 54.86183301; historical CSV reproduced, not a new timing simulation.","EJ200, End, N_TOP=0, x=0 mm",valid,"\newcommand{\RessigmaxzEROejA}{54.86\,\text{ps}}  % EJ-200 sigma_m*(x=0) with units"
CL0002,presentations/v6/results_macros.tex:6,54.86,\RessigmabxzEROejA,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej200; scripts/results_macros.py reproduces 54.86183301; historical CSV reproduced, not a new timing simulation.","EJ200, End, N_TOP=0, x=0 mm",valid,\newcommand{\RessigmabxzEROejA}{54.86}  % EJ-200 sigma_m*(x=0) bare (for table)
CL0003,presentations/v6/results_macros.tex:7,5,\ResmoptxzEROejA,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej200; scripts/results_macros.py reproduces 5; historical CSV reproduced, not a new timing simulation.","EJ200, End, N_TOP=0, x=0 mm",valid,\newcommand{\ResmoptxzEROejA}{5}  % EJ-200 m* at x=0
CL0004,presentations/v6/results_macros.tex:8,"52.72\,\text{ps}",\RessigmamEANejA,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej200; scripts/results_macros.py reproduces 52.71762714; historical CSV reproduced, not a new timing simulation.","EJ200, End, N_TOP=0, x=-600..600 mm",valid,"\newcommand{\RessigmamEANejA}{52.72\,\text{ps}}  % EJ-200 bar-mean sigma_m* with units"
CL0005,presentations/v6/results_macros.tex:9,52.72,\RessigmabmEANejA,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej200; scripts/results_macros.py reproduces 52.71762714; historical CSV reproduced, not a new timing simulation.","EJ200, End, N_TOP=0, x=-600..600 mm",valid,\newcommand{\RessigmabmEANejA}{52.72}  % EJ-200 bar-mean sigma_m* bare (for table)
CL0006,presentations/v6/results_macros.tex:10,"47.57\,\text{ps}",\RessigmaMINejA,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej200; scripts/results_macros.py reproduces 47.57450951; historical CSV reproduced, not a new timing simulation.","EJ200, End, N_TOP=0, x=-600..600 mm",valid,"\newcommand{\RessigmaMINejA}{47.57\,\text{ps}}  % EJ-200 min sigma_m* on bar"
CL0007,presentations/v6/results_macros.tex:11,"-600\,\text{mm}",\ResxMINejA,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej200; scripts/results_macros.py reproduces -600; historical CSV reproduced, not a new timing simulation.","EJ200, End, N_TOP=0, x=-600..600 mm",valid,"\newcommand{\ResxMINejA}{-600\,\text{mm}}  % EJ-200 x at min sigma"
CL0008,presentations/v6/results_macros.tex:12,"1311\,\text{pe}",\ResNpexzEROejA,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej200; scripts/results_macros.py reproduces 1310.7702; historical CSV reproduced, not a new timing simulation.","EJ200, End, N_TOP=0, x=0 mm",valid,"\newcommand{\ResNpexzEROejA}{1311\,\text{pe}}  % EJ-200 mean N_pe/end at x=0"
CL0009,presentations/v6/results_macros.tex:15,"53.36\,\text{ps}",\RessigmaxzEROejB,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej204; scripts/results_macros.py reproduces 53.35502677; historical CSV reproduced, not a new timing simulation.","EJ204, End, N_TOP=0, x=0 mm",valid,"\newcommand{\RessigmaxzEROejB}{53.36\,\text{ps}}  % EJ-204 sigma_m*(x=0) with units"
CL0010,presentations/v6/results_macros.tex:16,53.36,\RessigmabxzEROejB,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej204; scripts/results_macros.py reproduces 53.35502677; historical CSV reproduced, not a new timing simulation.","EJ204, End, N_TOP=0, x=0 mm",valid,\newcommand{\RessigmabxzEROejB}{53.36}  % EJ-204 sigma_m*(x=0) bare (for table)
CL0011,presentations/v6/results_macros.tex:17,10,\ResmoptxzEROejB,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej204; scripts/results_macros.py reproduces 10; historical CSV reproduced, not a new timing simulation.","EJ204, End, N_TOP=0, x=0 mm",valid,\newcommand{\ResmoptxzEROejB}{10}  % EJ-204 m* at x=0
CL0012,presentations/v6/results_macros.tex:18,"53.57\,\text{ps}",\RessigmamEANejB,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej204; scripts/results_macros.py reproduces 53.57114995; historical CSV reproduced, not a new timing simulation.","EJ204, End, N_TOP=0, x=-600..600 mm",valid,"\newcommand{\RessigmamEANejB}{53.57\,\text{ps}}  % EJ-204 bar-mean sigma_m* with units"
CL0013,presentations/v6/results_macros.tex:19,53.57,\RessigmabmEANejB,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej204; scripts/results_macros.py reproduces 53.57114995; historical CSV reproduced, not a new timing simulation.","EJ204, End, N_TOP=0, x=-600..600 mm",valid,\newcommand{\RessigmabmEANejB}{53.57}  % EJ-204 bar-mean sigma_m* bare (for table)
CL0014,presentations/v6/results_macros.tex:20,"52.07\,\text{ps}",\RessigmaMINejB,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej204; scripts/results_macros.py reproduces 52.07021981; historical CSV reproduced, not a new timing simulation.","EJ204, End, N_TOP=0, x=-600..600 mm",valid,"\newcommand{\RessigmaMINejB}{52.07\,\text{ps}}  % EJ-204 min sigma_m* on bar"
CL0015,presentations/v6/results_macros.tex:21,"-300\,\text{mm}",\ResxMINejB,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej204; scripts/results_macros.py reproduces -300; historical CSV reproduced, not a new timing simulation.","EJ204, End, N_TOP=0, x=-600..600 mm",valid,"\newcommand{\ResxMINejB}{-300\,\text{mm}}  % EJ-204 x at min sigma"
CL0016,presentations/v6/results_macros.tex:22,"941\,\text{pe}",\ResNpexzEROejB,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej204; scripts/results_macros.py reproduces 940.9627; historical CSV reproduced, not a new timing simulation.","EJ204, End, N_TOP=0, x=0 mm",valid,"\newcommand{\ResNpexzEROejB}{941\,\text{pe}}  % EJ-204 mean N_pe/end at x=0"
CL0017,presentations/v6/results_macros.tex:25,"50.49\,\text{ps}",\RessigmaxzEROejC,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej230; scripts/results_macros.py reproduces 50.49441453; historical CSV reproduced, not a new timing simulation.","EJ230, End, N_TOP=0, x=0 mm",valid,"\newcommand{\RessigmaxzEROejC}{50.49\,\text{ps}}  % EJ-230 sigma_m*(x=0) with units"
CL0018,presentations/v6/results_macros.tex:26,50.49,\RessigmabxzEROejC,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej230; scripts/results_macros.py reproduces 50.49441453; historical CSV reproduced, not a new timing simulation.","EJ230, End, N_TOP=0, x=0 mm",valid,\newcommand{\RessigmabxzEROejC}{50.49}  % EJ-230 sigma_m*(x=0) bare (for table)
CL0019,presentations/v6/results_macros.tex:27,7,\ResmoptxzEROejC,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej230; scripts/results_macros.py reproduces 7; historical CSV reproduced, not a new timing simulation.","EJ230, End, N_TOP=0, x=0 mm",valid,\newcommand{\ResmoptxzEROejC}{7}  % EJ-230 m* at x=0
