frame_number,frame_title,content_type,asset_path,source_csv,takeaway_summary
1,Title,text,,,"EJ-204 bar — intrinsic timing and position — pair (28,29)"
2,Scientific questions,text,,,"Seven open questions driving the analysis"
3,Detector geometry and fine scan,figure,figures/fine_scan_geometry.pdf,,"Bar at 1400mm; pair (28,29) at x=-452,-432; 41-pos scan"
4,Available datasets,table,tables/dataset_inventory.tex,analysis/data_inventory.csv,"3 datasets: fine scan, global EndTop, window-dip"
5,From photon hits to event observables,figure,figures/order_statistic_schematic.pdf,,"t_k = k-th sorted hit; t+ = sum/2; Δt = difference"
6,Timing estimators — definitions,text,,,"t4/t20 as order statistics; Δt and t+ formulas"
7,20th hit is NOT 20% CFD,figure,figures/cfd_vs_orderstat_schematic.pdf,,"Conceptual distinction from Lv et al. 20% CFD method"
8,Mean Δt vs x — calibrations and residuals,figure,figures/mean_dt_vs_x_with_residuals.pdf,analysis/calibration_4pe.csv,"4PE slope=5.88 ps/mm; 20PE slope=9.67 ps/mm; 20PE steeper"
9,Timing width RMS68 vs position,figure,figures/rms68_dt_vs_x_4_20.pdf,analysis/temporal_position_summary.csv,"4PE narrower (~78 ps) but shallower slope; 20PE wider (~100 ps)"
10,A–B correlation vs position,figure,figures/rho_ab_vs_x_4_20.pdf,analysis/temporal_position_summary.csv,"rho_AB rises for k=20 (0.31); common-mode contamination"
11,Common-time estimator width vs position,figure,figures/tplus_rms68_vs_x_4_20.pdf,analysis/temporal_position_summary.csv,"sigma(t+) 48 ps (4PE) vs 66 ps (20PE)"
12,Δt distributions at REF1 and REF2,figure,figures/ref1_dt_overlay.pdf,,"REF1=-441mm: distribution shape and width comparison"
13,Δt distributions at REF2,figure,figures/ref2_dt_overlay.pdf,,"REF2=-443mm: distribution shape and width comparison"
14,Reconstructed x at REF1 and REF2,figure,figures/ref1_xrec_overlay.pdf,analysis/loo_predictions_4pe.npz,"LOO-CV x_rec distributions; bias and RMS68 annotated"
15,Reconstructed x at REF2,figure,figures/ref2_xrec_overlay.pdf,analysis/loo_predictions_20pe.npz,"REF2 LOO-CV distributions"
16,Reference positions summary table,table,tables/reference_positions.tex,analysis/reference_positions.csv,"Numeric summary of bias and RMS68 at REF1 and REF2"
17,Position resolution vs threshold (LOO-CV),figure,figures/sweep_rms68x_vs_k.pdf,analysis/threshold_sweep_summary.csv,"Minimum near k=4-8; k=20 slightly better than k=4 (10.3 vs 13.3 mm)"
18,Calibration slope and chi2 vs threshold,figure,figures/sweep_slope_vs_k.pdf,analysis/threshold_sweep_summary.csv,"Slope rises monotonically; chi2 blows up after k=15"
19,Reconstruction bias vs threshold,figure,figures/sweep_bias_vs_k.pdf,analysis/threshold_sweep_summary.csv,"Bias increases at higher k"
20,Resolution–bias trade-off,figure,figures/tradeoff_resolution_vs_bias.pdf,analysis/threshold_sweep_summary.csv,"Efficiency=100% all k; trade-off is resolution vs bias"
21,Threshold sweep table,table,tables/threshold_sweep.tex,analysis/threshold_sweep_summary.csv,"Selected k=1,2,4,8,12,16,20,25,30"
22,Main 4PE vs 20PE comparison table,table,tables/threshold_4_20_comparison.tex,analysis/threshold_4_20_summary.csv,"4PE better sigma_dt; 20PE better slope and RMS_x"
23,Why does 20PE have better position resolution?,text,,,"Steeper slope compensates wider spread; calibration chi2 degrades"
24,Window-dip NPE and geometry,figure,figures/window_dip_counts.pdf,analysis/window_dip_summary.csv,"NPE drops near SiPM center (gap); confirms local collection effect"
25,Window-dip timing,figure,figures/window_dip_t4_t20.pdf,analysis/window_dip_summary.csv,"t20-t4 varies with position; 4PE more stable"
26,Global EXEC_12 context,figure,figures/global_context_sigma_bias.pdf,tables/global_context.csv,"Local ratio best (3 mm); global methods worse; no gap coverage"
27,Comparison with Lv et al. 2026,table,tables/lv_comparison.tex,,"NOT directly comparable: geometry/channels/method/jitter all differ"
28,What is missing from the timing budget,text,,,"SPTR, electronics, waveform CFD, dark counts, cross-talk"
29,Conclusions,text,,,"Simulation predictions with explicit limitations enumerated"
30,Next steps,text,,,"SPTR addition; waveform simulation; Y scan; experimental validation"
B1,Full data inventory,table,tables/dataset_inventory.tex,analysis/data_inventory.csv,"41 ROOT files; 3000 events; schema verified"
B2,Order-statistic event builder validation,text,,,"Tests: k-th order, NaN for missing hits, separation A/B"
B3,Fit QA criteria,text,,,"Seed at bin-max; iterative 2.5-sigma window; status recorded"
B4,Full threshold sweep table,table,tables/threshold_sweep.tex,analysis/threshold_sweep_summary.csv,"All 30 thresholds with efficiency, slope, chi2, sigma_x, bias"
B5,Calibration details,text,,,"Covariates; confidence intervals; excluded positions for LOOCV"
B6,LOO-CV methodology,text,,,"Leave-one-position-out; 41 folds; event-level reconstruction"
B7,Window-dip metadata,table,tables/window_dip_summary.tex,analysis/window_dip_summary.csv,"Run A/B/C1/C2 positions; nearest SiPM; distance to centre"
B8,Detector channel map,text,,,"Top: 70 SiPM; End: 16; pair (28,29) highlighted"
B9,Simulation limitations checklist,text,,,"Jitter=0; no SPTR; no electronics; no waveform; intrinsic only"
B10,Reproducibility — commands and commits,text,,,"Git commits; Python versions; lualatex; Makefile targets"
